CBS	Naam	Prov	Beschermd wonen	Participatie	armoedebestrijding kinderen	beeldende kunst en vormgeving	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	extra capaciteit BOA's	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	openbare bibliotheken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	toekomstbestendig maken energiebeleid	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	voorschoolse voorziening peuters	vrouwenopvang	 Wet betaalbare huur 	Wet kwaliteitsborging bouw
1709	Moerdijk	10	0	2820395	128.035	 - 	 - 	 - 	35.259	 - 	 - 	 - 	 - 	 - 	112.368	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	719.913	 - 	 - 	66.440	 - 	29.391	30.234
820	Nuenen, Gerwen en Nederwetten	10	0	1607482	75.981	 - 	 - 	 - 	32.751	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	 - 	 - 	 - 	34.465	 - 	28.624	13.720
823	Oirschot	10	0	2628544	42.060	 - 	 - 	 - 	31.847	32.396	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	58.371	 - 	 - 	29.862	 - 	36.073	14.848
824	Oisterwijk	10	0	4342686	68.507	 - 	 - 	 - 	34.364	75.771	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	 - 	 - 	 - 	44.369	 - 	34.430	19.305
826	Oosterhout	10	0	6638716	266.498	 - 	 - 	 - 	38.796	27.569	 - 	 - 	 - 	 - 	170.876	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	309.855	 - 	 - 	84.588	 - 	37.403	32.382
828	Oss	10	20284076	19253235	403.803	 - 	 - 	 - 	45.551	42.934	 - 	20.000	3.186.534	454.753	279.170	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	334.662	 - 	 - 	149.738	 - 	64.304	48.642
1667	Reusel-De Mierden	10	0	2802808	36.904	 - 	 - 	 - 	30.784	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	 - 	 - 	 - 	24.660	 - 	22.599	12.420
1674	Roosendaal	10	0	15176264	425.007	 - 	 - 	 - 	42.700	 - 	 - 	20.000	 - 	 - 	228.799	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	147.388	 - 	 - 	122.384	 - 	63.846	41.771
840	Rucphen	10	0	6515344	87.191	 - 	 - 	 - 	32.635	2.244	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	46.697	 - 	 - 	33.953	 - 	21.197	14.258
796	's-Hertogenbosch	10	34073771	24130308	680.092	150.000	273.923	 - 	57.260	56.429	 - 	17.000	5.189.562	739.576	474.233	326.033	136.659	 - 	 - 	869.439	7.062	 - 	251.020	302.558	 - 	989.664	237.372	6.958.700	143.062	75.672
845	Sint-Michielsgestel	10	0	4291741	62.164	 - 	 - 	 - 	33.829	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	15.566	 - 	 - 	45.428	 - 	29.602	15.607
847	Someren	10	0	1762850	62.048	 - 	 - 	 - 	31.956	2.346	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	18.971	 - 	 - 	30.149	 - 	23.569	16.214
848	Son en Breugel	10	0	795236	49.679	 - 	 - 	 - 	31.607	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	38.914	 - 	 - 	26.576	 - 	26.168	11.597
851	Steenbergen	10	0	2792076	81.340	 - 	 - 	 - 	32.864	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	39.887	 - 	 - 	37.860	 - 	25.539	15.980
855	Tilburg	10	67521560	30277541	1.354.216	150.000	501.611	 - 	69.620	49.698	 - 	20.000	8.899.865	1.269.231	678.016	599.060	136.659	347.526	370.500	523.603	7.062	30.000	461.230	368.712	4.007	400.077	363.786	6.231.041	253.769	124.638
858	Valkenswaard	10	0	3805216	107.179	 - 	 - 	 - 	34.149	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	18.971	 - 	 - 	42.213	 - 	36.341	18.776
861	Veldhoven	10	0	4248244	140.143	 - 	 - 	 - 	36.805	7.275	 - 	 - 	 - 	 - 	138.140	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	103.609	 - 	 - 	61.314	 - 	43.252	23.924
865	Vught	10	0	4878146	74.156	 - 	 - 	 - 	34.233	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	 - 	 - 	 - 	48.514	 - 	34.709	16.842
866	Waalre	10	0	1303686	49.679	 - 	 - 	 - 	31.606	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	16.052	 - 	 - 	25.618	 - 	25.908	10.186
867	Waalwijk	10	0	5826832	183.971	 - 	 - 	 - 	37.421	 - 	 - 	 - 	 - 	 - 	148.391	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	395.466	 - 	 - 	69.027	 - 	40.913	28.299
873	Woensdrecht	10	0	2448657	68.826	 - 	 - 	 - 	32.440	8.430	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	62.749	 - 	 - 	31.717	 - 	26.438	14.535
879	Zundert	10	0	2061816	76.821	 - 	 - 	 - 	32.432	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	42.319	 - 	 - 	30.825	 - 	29.847	16.731
888	Beek	11	0	1253699	62.627	 - 	 - 	 - 	31.295	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	51.561	 - 	 - 	21.829	 - 	24.513	10.855
1954	Beekdaelen	11	0	4964997	117.896	 - 	 - 	 - 	35.050	34.911	 - 	 - 	 - 	 - 	105.893	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	43.292	 - 	 - 	52.444	 - 	33.316	17.769
889	Beesel	11	0	1633759	65.640	 - 	 - 	 - 	30.844	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	20.430	 - 	 - 	19.489	 - 	20.217	9.413
893	Bergen (L.)	11	0	2493428	36.499	 - 	 - 	 - 	30.781	6.731	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	12.161	 - 	 - 	25.284	 - 	19.184	10.500
899	Brunssum	11	0	9888231	155.583	 - 	 - 	 - 	33.489	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	81.233	 - 	 - 	39.109	 - 	35.560	17.066
