Naam 	Prov	Beschermd wonen	Participatie	armoedebestrijding kinderen	beeldende kunst en vormgeving	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	extra capaciteit BOA's	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
Renkum	5	0	2431040	114478	0	0	0	34186	10572	0	0	0	0	0	0	0	0	7062	0	0	65668	0	0	46674	0	16127
Rheden	5	0	6444271	235677	0	0	0	36438	37087	0	0	0	0	0	0	0	0	7062	0	0	106041	0	0	67550	0	22540
Rozendaal	5	0	79320	2086	0	0	0	28664	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	3384	0	4268
Scherpenzeel	5	0	223775	33979	0	0	0	30227	0	0	0	0	0	0	0	0	0	7062	0	0	9242	0	0	17048	0	8143
Tiel	5	0	8674036	223047	0	0	0	36139	340	0	0	0	0	0	136659	0	0	7062	0	0	286020	0	400077	67331	0	22939
Voorst	5	0	2395070	46637	0	0	0	32953	0	0	0	0	0	0	0	0	0	7062	0	0	67613	0	0	48796	0	17351
Wageningen	5	0	3620934	145995	0	0	0	35714	28690	0	0	0	0	0	0	0	0	7062	0	0	23835	0	0	49239	0	22139
West Betuwe	5	0	3267349	127745	0	0	0	37920	0	0	0	0	0	0	0	0	0	7062	0	0	134741	0	0	93754	0	28742
West Maas en Waal	5	0	1179315	56138	0	0	0	31985	0	0	0	0	0	0	0	0	0	7062	0	0	140091	0	0	34751	0	13623
Westervoort	5	0	2973850	83686	0	0	0	31135	0	0	0	0	0	0	0	0	0	7062	0	0	44265	0	0	23293	0	8938
Wijchen	5	0	4135660	147733	0	0	0	36017	0	0	0	0	0	0	0	0	0	7062	0	0	145928	0	0	63772	0	22499
Winterswijk	5	0	6184339	98488	0	0	0	33740	55817	0	0	0	0	0	0	0	0	7062	0	0	230567	0	0	50683	0	20910
Zaltbommel	5	0	2947825	100111	0	0	0	33819	4487	0	0	0	0	0	0	0	0	7062	0	0	220352	0	0	53949	0	17116
Zevenaar	5	0	4890993	175976	0	0	0	36544	14549	0	0	0	0	0	0	0	0	7062	0	0	133767	0	0	72965	0	24439
Zutphen	5	0	10457120	238458	0	0	0	37290	57551	0	0	0	0	0	0	0	0	7062	0	0	124039	0	0	77886	0	25527
Amersfoort	6	27371429	17465184	709522	150000	294662	0	57627	107283	0	20000	4383662	626144	0	136659	276667	0	7062	0	0	171709	0	400077	267189	4426140	71688
Baarn	6	0	820914	83947	0	0	0	32954	27943	0	0	0	0	0	0	0	0	7062	0	0	45238	0	0	39086	0	14760
Bunnik	6	0	544446	30589	0	0	0	31196	0	0	0	0	0	0	0	0	0	7062	0	0	35509	0	0	25558	0	9923
Bunschoten	6	0	1038488	59383	0	0	0	32438	0	0	0	0	0	0	0	0	0	7062	0	0	52048	0	0	35094	0	12103
De Bilt	6	0	1061495	170153	0	0	0	36411	0	0	0	0	0	0	0	0	0	7062	0	0	35509	0	0	73900	0	21492
