CBS	Naam 	Prov	Beschermd wonen	Participatie	Voogdij/18+	CBS	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	begeleiding jongeren naar werk	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	personen met verward gedrag	Regionale Energie Strategieën	slavernijverleden	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
180	Staphorst	4	0	1134875	0	180	0	46395	0	0	0	0	31553	0	0	0	0	0	0	0	0	0	7062	0	0	90962	0	0	4000	34917	0	12664
1708	Steenwijkerland	4	0	6521496	0	1708	0	169686	0	0	0	0	36589	0	0	0	0	0	0	0	0	0	7062	0	0	157603	0	0	7000	93494	0	26455
183	Tubbergen	4	0	2162612	0	183	0	42197	0	0	0	0	32307	0	0	0	0	0	0	0	0	0	7062	0	0	58371	0	0	3000	37103	0	17561
1700	Twenterand	4	0	6424251	0	1700	0	129343	0	0	0	0	34610	0	0	0	0	0	0	0	0	0	7062	0	0	93394	0	0	6000	59489	0	18418
189	Wierden	4	0	2104586	0	189	0	55608	0	0	0	0	32906	0	0	0	0	0	0	0	0	0	7062	0	0	57398	0	0	5000	42039	0	15915
1896	Zwartewaterland	4	0	1054714	0	1896	0	70464	0	0	0	0	32588	0	0	0	0	0	0	0	0	0	7062	0	0	333690	0	0	3000	40447	0	14510
193	Zwolle	4	68750308	13812322	0	193	178695	626082	150000	384151	0	0	52490	207412	0	0	20000	10665180	280028	0	0	184828	7062	0	215600	400817	0	400077	26000	228003	6129567	64256
197	Aalten	5	0	6388511	0	197	0	80632	0	0	0	0	33387	0	0	0	0	0	0	0	0	0	7062	0	0	37455	0	0	5000	45346	0	18220
200	Apeldoorn	5	44278263	20086657	0	200	209407	732664	150000	474696	0	0	58988	75177	50478	0	0	4230876	413041	0	0	286747	7062	0	318010	179492	0	400077	30000	269928	5649829	80680
202	Arnhem	5	68735286	28220512	0	202	193490	1161882	374923	384383	494705	162500	58550	565178	100266	0	0	8477724	362036	0	0	246851	7062	30000	278740	226675	0	400077	29000	321889	8043687	79475
203	Barneveld	5	0	2617925	0	203	0	160282	0	0	0	0	39500	0	0	0	0	0	0	0	0	0	7062	0	0	81720	0	0	12000	119996	0	36568
1945	Berg en Dal	5	0	3861832	0	1945	0	124300	0	0	0	0	34854	0	4052	0	0	0	0	0	0	0	7062	0	0	148847	0	0	5000	58315	0	17787
1859	Berkelland	5	0	5864920	0	1859	0	132233	0	0	0	0	36497	0	0	0	0	0	0	0	0	0	7062	0	0	173168	0	0	7000	74337	0	31047
209	Beuningen	5	0	2814488	0	209	0	73027	0	0	0	0	33208	0	0	0	0	0	0	0	0	0	7062	0	0	129876	0	0	7000	40942	0	14505
1876	Bronckhorst	5	0	4212271	0	1876	0	93116	0	0	0	0	35054	0	6854	0	0	0	0	0	0	0	7062	0	0	128903	0	0	8000	62341	0	26593
213	Brummen	5	0	2042550	0	213	0	63949	0	0	0	0	32227	0	0	0	0	0	0	297737	0	0	7062	0	0	37941	0	0	4000	31265	0	13854
214	Buren	5	0	2013629	0	214	0	88591	0	0	0	0	33366	0	0	0	0	0	0	0	0	0	7062	0	0	158576	0	0	3000	52872	0	16999
216	Culemborg	5	0	3488281	0	216	0	105928	0	0	0	0	33759	0	0	0	0	0	0	281176	0	0	7062	0	0	68586	0	0	3000	45369	0	15848
221	Doesburg	5	0	1425911	0	221	0	55608	0	0	0	0	30401	0	0	0	0	0	0	0	0	0	7062	0	0	20430	0	0	1000	16793	0	7938
222	Doetinchem	5	28544477	8296631	0	222	145493	277086	0	262211	0	0	39180	0	11380	0	0	3913503	0	303978	0	0	7062	0	0	143983	0	400077	8000	92791	0	29616
225	Druten	5	0	2073265	0	225	0	56290	0	0	0	0	31875	0	0	0	0	0	0	0	0	0	7062	0	0	152738	0	0	3000	29606	0	11922
226	Duiven	5	0	1887835	0	226	0	89027	0	0	0	0	33005	0	15562	0	0	0	0	0	0	0	7062	0	0	63236	0	0	9000	39192	0	14866
228	Ede	5	24225561	8503615	0	228	151666	410709	150000	267579	0	0	50387	58600	2931	0	20000	3631978	0	0	0	0	7062	0	0	314719	0	400077	19000	205077	3049618	61977
230	Elburg	5	0	3510101	0	230	0	86193	0	0	0	0	32700	0	0	0	0	0	0	0	0	0	7062	0	0	27240	0	0	5000	40542	0	12895
232	Epe	5	0	4000417	0	232	0	110671	0	0	0	0	34517	0	0	0	0	0	0	0	0	0	7062	0	0	72964	0	0	3000	54848	0	20088
233	Ermelo	5	0	3917342	0	233	0	73463	0	0	0	0	33367	0	0	0	0	0	0	0	0	0	7062	0	0	53994	0	0	7000	45046	0	17102
243	Harderwijk	5	0	4676556	0	243	0	201716	0	0	0	0	37405	0	90826	0	0	0	0	0	0	0	7062	0	0	175114	0	0	11000	78776	0	23582
244	Hattem	5	0	747372	0	244	0	31184	0	0	0	0	30617	0	0	0	0	0	0	0	0	0	7062	0	0	43779	0	0	4000	19197	0	8367
