CBS	Naam	Prov	Beschermd wonen	Participatie	Voogdij/18+	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	maatschappelijke opvang	personen met verward gedrag	slavernijverleden	Uitstapprogramma prostituees	veiligheidshuizen	vergunningverlening, toezicht en handhaving	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
297	Zaltbommel	5	0	2968781	0	0	97887	0	0	0	33819	0	0	0	0	0	0	0	0	220352	0	9000	53907	0	17116
299	Zevenaar	5	0	4651973	0	0	169686	0	0	0	36544	0	8363	0	0	0	0	0	0	133767	0	10000	73202	0	24439
301	Zutphen	5	0	9924113	0	0	258496	0	0	0	37290	0	68626	0	0	0	0	0	0	124039	0	10000	78714	0	25527
307	Amersfoort	6	26035154	16885128	0	160538	707340	150000	0	0	57627	128380	88455	0	4356335	0	0	0	0	171709	398593	30000	266770	4441309	71688
308	Baarn	6	0	785998	0	0	76488	0	0	0	32954	0	12199	0	0	0	0	0	0	45238	0	7000	38882	0	14760
312	Bunnik	6	0	489525	0	0	33283	0	0	0	31196	0	0	0	0	0	0	0	0	35509	0	3000	25158	0	9923
313	Bunschoten	6	0	1164299	0	0	61332	0	0	0	32438	0	0	0	0	0	0	0	0	52048	0	4000	35121	0	12103
310	De Bilt	6	0	989727	0	0	155921	0	0	0	36411	0	0	0	0	0	0	0	0	35509	0	9000	73745	0	21492
736	De Ronde Venen	6	0	1721773	0	0	137385	0	0	0	36660	0	0	0	0	0	0	0	0	190680	0	8000	78447	0	21831
317	Eemnes	6	0	269962	0	0	21098	0	0	0	30084	0	0	0	0	0	0	0	0	79288	0	4000	15350	0	7331
321	Houten	6	0	691703	0	0	131660	0	0	0	37683	0	0	0	0	0	0	0	0	62263	0	9000	84912	0	23189
353	IJsselstein	6	0	2509431	0	0	139347	0	0	0	34633	0	0	0	0	0	0	0	0	41346	0	3000	50941	0	17054
327	Leusden	6	0	1416109	0	0	83140	0	0	0	34023	0	21510	0	0	0	0	0	0	58858	0	4000	45527	0	16223
331	Lopik	6	0	792790	0	0	53973	0	0	0	31031	0	0	0	0	0	0	0	0	87557	0	2000	32512	0	10028
335	Montfoort	6	0	447232	0	0	39253	0	0	0	30927	0	0	0	0	0	0	0	0	113824	0	1000	22620	0	9378
356	Nieuwegein	6	0	2935720	0	0	288999	0	0	0	40221	0	0	0	0	0	0	0	0	151279	0	15000	94569	0	31889
589	Oudewater	6	0	485603	0	0	41215	0	0	0	30228	0	0	0	0	0	0	0	0	77342	0	2000	16233	0	8401
339	Renswoude	6	0	269862	0	0	11694	0	0	0	29376	0	0	0	0	0	0	0	0	0	0	0	9648	0	6658
340	Rhenen	6	0	1416416	0	0	74417	0	0	0	32100	0	0	0	0	0	0	0	0	51561	0	2000	37462	0	11876
342	Soest	6	0	2916468	0	0	188904	0	0	0	37066	0	0	0	0	0	0	0	0	108473	0	5000	70319	0	22866
1904	Stichtse Vecht	6	0	2776286	0	0	196918	0	0	0	40452	0	0	0	0	0	0	0	0	142037	0	14000	107185	0	28897
344	Utrecht	6	94971907	17708060	0	256999	1973488	951227	0	0	95177	907524	136347	0	25309782	710071	0	518448	546700	430002	398593	62000	605937	12933258	191409
1581	Utrechtse Heuvelrug	6	0	1428838	0	0	140928	0	0	0	37632	0	57979	0	0	0	0	0	0	127444	0	8000	85275	0	24798
345	Veenendaal	6	0	6802460	0	0	310097	0	0	0	40787	0	0	0	0	0	0	0	0	81233	0	11000	108734	0	31881
1961	Vijfheerenlanden	6	0	3498766	0	0	228838	0	0	0	39098	0	3362	136010	0	0	0	0	0	147874	0	9000	103648	0	27770
352	Wijk bij Duurstede	6	0	1144103	0	0	78151	0	0	0	32792	0	0	0	0	0	0	0	0	42806	0	3000	36598	0	13246
632	Woerden	6	0	5583869	0	0	175493	0	0	0	38143	0	0	0	0	0	0	0	0	76856	0	10000	85897	0	25261
351	Woudenberg	6	0	350128	0	0	40561	0	0	0	30880	0	0	0	0	0	0	0	0	44265	0	4000	22020	0	9680
355	Zeist	6	0	5620841	0	0	340790	0	0	0	40439	0	119061	0	0	0	0	0	0	154198	0	7000	107232	0	30690
358	Aalsmeer	7	0	779997	0	0	87665	0	0	0	34293	0	0	0	0	0	0	0	0	139605	0	3000	47162	0	17876
361	Alkmaar	7	20290707	11486672	0	214212	512739	150000	0	0	48781	165775	4483	79330	3523316	327033	0	234266	251790	151766	398593	19000	175083	5619867	56877
362	Amstelveen	7	0	2199768	0	0	325634	0	0	0	45235	0	0	0	0	0	0	0	0	99231	0	14000	141620	0	44948
