CBS	Naam	Prov	vest	bo31	bo31hk	bo3_nw	doelgroep	ephh	groei_jong	groei_llvo	kernen500	lidr_w_nw	inwo	inw75+dr	wad1	wad3	wad2	jong	kernen	LOdr	ll_so	ll_vo	loonksub	nwmigr	cf.landelijk	cf.lokaal	cf.regionaal	oeverdhbftot	oeverbftot	oadw	goab	opbebnk	opbebnkbfnk	opbebk	opbebkbfk	biwa	buiwamax	histk40	histk65	histk4164	landbftot	land	WOZnwe70	WOZnwg70	WOZwe80	vast nieuw	Amsterdam	Den Haag	Rotterdam	woonr	woonrbfk
209	Beuningen	5	3326,133853	0	0	364,9850663	137,4744578	3440,58691	0	0	3	1851,59064	26852,93022	754,9332605	0	0	0	4935,476904	6	2454,938795	155,3565422	0	37,22961119	1625,502	10044,71179	23555,55652	11823,25231	8481,465067	1503	11916,81351	569,7475255	41,14863134	41,14863134	138,4405678	138,3986091	412	0	0	0	0	4297	4297	266818005,1	252034845,4	3592312867	1	0	0	0	11787,1548	11787,1548
1876	Bronckhorst	5	5606,611092	0	0	295,8715732	258,0289824	4515,708044	0	0	6	2739,962233	36659,15589	2535,176365	0	0	0	5886,966848	24	4069,434621	0	316,9526224	87,25690123	926,8477702	5103,198645	30477,71706	8448,06746	4450,559578	3514	6511,135827	181,1736102	259,938915	259,938915	193,0083828	192,9498857	294	0	0	0	0	28349	28349	589884130,2	493973874,3	5548049051	1	0	0	0	17044,85819	17044,85819
213	Brummen	5	2658,80526	509	0	251,4414704	184,0042743	2821,819325	0	0	2	1600,078955	21327,3282	1460,337765	0	0	0	3481,0853	7	2631,181609	316,7285734	0	73,29579703	1349,056082	4577,720765	20392,58389	6770,580381	3346,217361	1348	8086,349821	801,9485114	59,21388412	59,21388412	124,2933565	124,2556856	140	0	0	0	0	8362	8362	263212356,4	246265807,4	3017659320	1	0	0	0	10261,86525	10261,86525
214	Buren	5	4618,754592	0	0	197,7962352	130,071987	3130,704915	0	0	7	1759,571706	28017,06583	742,3062407	0	0	0	5197,991572	20	4204,208538	0	0	19,77823095	938,9108648	1283,378669	21110,06331	2010,963427	8079,125525	3614,16	3520,873343	1114,435095	118,4277682	131,4548227	167,7455055	182,787185	938	0	6	0	0	14822,94	13354	383280458,7	340373238,9	3760422956	1	0	0	0	11697,25363	12750,00646
216	Culemborg	5	4156,353677	1899	1899	449,5668175	200,9242076	4390,160998	0	0	1	2192,697049	30042,17674	808,7335332	0	0	0	6073,040462	1	2698,568568	543,7478976	3179,058633	63,98839423	4466,360784	18189,61893	32316,88964	20564,37474	25974,55656	1515,11	20059,32328	1263,159403	23,08337856	30,00839212	166,7349904	198,354503	188	0	17	0	0	3717,29	2927	385804412,8	374626901,8	3911056254	1	0	0	0	13426,58854	15977,64036
221	Doesburg	5	1266,34796	1178	1178	250,4541348	130,071987	1970,889345	0	0	2	1272,911747	11197,73152	747,1403473	0	0	0	1671,645122	2	1547,009183	0	0	24,43193234	1256,572357	3445,922253	11752,5149	5335,621554	5176,837838	605	4400,29469	479,2006089	10,03625155	10,03625155	53,55729995	53,54106777	137	0	18	0	0	1158	1158	111414545,4	106006072,3	1281215258	1	0	0	0	5452,657609	5452,657609
222	Doetinchem	5	7540,287645	1667	1667	1217,713927	723,3271474	9523,640222	0	0	3	5602,751056	59818,58293	2307,973354	0	0	0	10904,91962	7	5562,91304	3598,851803	3678,715775	216,397115	4806,137949	57954,14699	65027,88769	67503,69693	8375,739485	1127	32343,93258	2860,554598	78,28276206	78,28276206	372,8800694	372,7670567	66	0	10	0	0	7899	7899	910426301,2	889152973,8	6772256680	1	0	0	0	27810,77608	27810,77608
225	Druten	5	2548,459587	0	0	264,6059453	130,071987	2466,102694	0	0	3	1446,949753	19710,47318	571,6539428	0	0	0	3572,613402	4	2222,473725	813,72063	1133,562386	29,08563374	1321,914119	6578,578848	18947,51972	8852,281214	6244,999364	1351,38	7106,662404	713,9444873	37,13413072	37,50547203	116,2092357	117,3357551	512	0	0	0	0	3771,34	3734	261048967,2	223910785,4	2321500462	1	0	0	0	8762,838969	8850,467359
226	Duiven	5	3016,115058	0	0	412,3771759	169,1993327	3103,801977	0	0	1	2029,871011	25199,69596	726,9704542	0	0	0	4453,697113	6	2229,252295	0	1483,084075	40,71988724	1813,485225	14814,43409	25243,14894	17936,98534	5959,652458	839	12886,85827	888,4467443	58,21025897	58,21025897	140,461598	140,4190268	129	0	0	0	0	3390	3390	590965824,8	580509443,5	3085902030	1	0	0	0	11014,40877	11014,40877
228	Ede	5	16972,2154	3234	0	1741,001804	817,4442762	18072,79623	0	0	6	8012,919855	123297,3214	3350,827671	0	0	0	26358,08187	23	9728,045118	2750,828802	3707,313004	198,9457348	11697,18075	137230,5695	125003,1034	140949,336	6582,720105	1719	87610,54683	5837,164815	308,1129225	308,1129225	607,3195711	607,1355044	49	0	0	0	0	31813	31813	2387660581	2227930343	16368679632	1	0	0	0	54214,4473	54214,4473
