;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
128;Nieuwegein;18446092.369237743;12689512.199972855;15824864.326769182;25012741.654274568;22854592.019233298;10245833.22657369;10402230.8213306;19892130.65305089;17163855.372027487;0.0;-10862715.30214559;-17732817.66122006;123936392.06733415
129;Oudewater;2141792.015519834;972075.3634048232;2136426.183224513;2809417.009695693;3519592.330596409;1204560.092112807;1087243.555204246;2695308.074863875;4660490.480817444;0.0;-1709488.5631729423;-2399150.0997602306;17118274.316397943
130;Renswoude;1153888.4149598617;376580.9964450981;618743.2054136805;1603642.3832587958;1923461.6654852733;644039.8100596964;699633.1854525994;1252979.558570112;1708517.1271146366;0.0;-950912.4790653326;-1575870.0003055304;7454707.811379983
131;Rhenen;4536582.106858964;2806232.8215128887;4957570.922724459;7449733.99251627;7000670.626921333;2580171.471418852;2591743.6103281085;5031495.636394658;5474974.589654537;0.0;-3410058.6427056883;-4410814.599883182;34608324.226987645
132;Soest;12018537.927420106;6627508.419676329;11796550.773778867;15111058.845296679;16532082.662765786;6643104.723451272;6565068.816224001;12940671.832728975;10943884.913548602;0.0;-7927860.489908432;-12757043.624857448;78493606.1958269
133;Stichtse Vecht;15460869.486669768;7655598.675880686;13219548.328283235;20068469.424962055;22773482.205050267;8842124.766266169;9057238.960996732;16253484.117487475;20206410.23797913;0.0;-10978150.793377051;-15929535.870582195;106629595.45861825
134;Utrecht;131201633.87460902;88085602.51916213;93596717.37287337;140443472.7596294;129619680.35598956;69740402.96469447;64266493.65690609;167387834.85233718;108652042.59476154;0.0;-60864288.23143381;-117521172.8219697;814608760.0051442
135;Utrechtse Heuvelrug;11556150.75423407;6474841.821092962;13168465.336825285;13462738.36581561;17706709.57250679;6485452.40528405;6803541.966589476;12759420.572765097;12737802.283114947;0.0;-8410468.34502756;-13221276.085922739;79523412.46640272
136;Veenendaal;19646579.562221855;12156292.42947007;17506999.161635682;29939412.355735693;23656464.249162316;9772134.352528675;12041880.963686712;23497072.69922766;16767671.65247067;0.0;-11387223.212882383;-16029734.751762057;137567629.20789576
137;Vijfheerenlanden;13921229.553236712;8247663.710023546;13349432.970312033;20839025.564388875;20339818.54846559;7777767.729511172;8451137.252221256;15228789.879082948;18980121.966452755;0.0;-9892451.392534396;-14178268.730801897;103064325.89600202
138;Wijk bij Duurstede;5478359.403159466;2729538.907501478;4264170.785634032;7094115.068304302;8310554.929083372;2947982.0272962674;2928475.9917043224;6461694.256429292;6025356.668867001;0.0;-4025265.866924265;-5052277.56421439;37162723.70398673
139;Woerden;12802189.759173548;6626157.513939683;10268879.311997775;15771735.577383457;18373637.240385856;6924616.718487572;8703182.867888838;14521183.753712684;20632876.074413944;0.0;-8898629.218634635;-12900298.28349602;92825572.35586877
140;Woudenberg;3067649.1090488797;1278718.257245419;2401759.4038200574;4043940.2718421044;4776093.520127213;1578377.9399138384;1679388.5555514714;3330040.7331632953;3346308.4197329273;0.0;-2334455.640608908;-3304832.409199314;19862998.389086906
141;Zeist;17831615.584534366;12158041.341811636;16900340.402837977;23837832.011686187;23358888.975709647;9892468.100822948;13533426.77885128;19899032.869019773;14176378.857690781;0.0;-11103850.956940912;-19575358.132438604;120908879.6307057
142;Aalsmeer;7352293.473698194;2940167.0530963014;6219672.195749246;9475983.163185732;11179654.385742068;4088994.5507763056;3508531.309855536;7579492.668741212;12330432.892711377;0.0;-5460805.480200075;-10488774.262640683;48725668.0002198
143;Alkmaar;32297139.572667677;25664118.927441306;31237607.571159508;47854305.69117503;39493693.64521467;17735198.07446937;18610956.770918522;39409449.43601309;35746032.6553639;0.0;-18641822.191539437;-29644407.12492924;239762411.21559513
144;Amstelveen;28325399.546574447;11954493.331411496;22279612.002182428;31328411.634453952;32806648.24160098;17059920.01384169;15623866.787252126;27412258.559879497;27511552.740538806;0.0;-15536843.054678304;-31333855.425067727;167431553.48485202
145;Amsterdam;382375984.0508089;361446112.2657336;267681522.2037611;378808378.5509025;337650455.095311;248690094.21588004;165797546.71412823;442004773.0995611;444648827.8145748;103474500.46425001;-152017940.65996712;-335393142.9635817;2645168337.1493683
146;Bergen (NH.);6405933.682818746;3252622.5747614102;10106815.12115252;7165743.787359102;10996756.947251545;4247129.161634711;3730280.0702434406;6827787.01788254;8628191.306317855;0.0;-5001587.6157829845;-11157749.453242151;45201944.152145125
147;Beverwijk;11819354.847522547;9034675.746790972;10320160.050177768;16819706.475881454;14987516.592927093;7145314.42173223;6521367.181386787;12502022.283992702;12804907.495731583;0.0;-7081614.009640409;-10761915.596746469;84111549.04292716
148;Blaricum;2777687.8567595202;1117845.0812538906;2039939.195058175;2737251.3260049876;4290313.517107196;1703740.613520783;2364043.4438844384;2718916.8901004666;2967904.4608958955;0.0;-2079689.8483289382;-4409059.607372298;16228899.4331581
149;Bloemendaal;5094356.636890691;1888986.2434955712;5525826.573937021;4198984.463030774;8276310.643371463;2901866.9818283664;3126446.836429152;5190213.453746259;5499070.608636994;0.0;-3993462.210052476;-9425705.044755727;28282904.144025538
150;Castricum;8187428.051573461;3972038.3538777465;8982376.792579666;8662491.11668022;12705062.834222311;4333011.968559566;4668537.1970336735;8937304.401501257;8790969.373457411;0.0;-6102095.067571401;-8709581.148950228;54427567.02823541
151;Den Helder;15696614.92784647;15637237.290672174;20090012.86127741;29246366.948794886;20391254.43693309;8438994.33609081;9243241.211110577;17868582.817832544;16560615.651349148;0.0;-9479508.688761804;-12128067.350818919;131565433.78732221
152;Diemen;9488622.341833558;4656261.615430474;4222442.530656409;7974497.763881078;11530670.360922009;6455817.470034979;4458558.780198958;7378860.743967665;11304781.446189415;0.0;-5354793.295012953;-9329479.344648346;52786267.78889408
153;Dijk en Waard;24147346.225052178;13171051.833736623;21157021.545905128;31863483.193711203;30443561.275087174;11174629.913769452;13048292.621377718;29900548.9425546;21244545.33173746;0.0;-14756727.987018043;-19603915.09063631;161789913.05251274
154;Drechterland;4213200.026310318;2262072.7837236216;4355508.177099711;6452515.583496628;6927089.537412148;2354052.468641108;2174774.398913467;4539583.1747268485;7348883.393112053;0.0;-3362605.568600076;-4191882.1458821055;33073210.37233449
155;Edam-Volendam;8421893.891263936;3428311.5694587524;8288892.5075272415;10025724.62783657;12693704.70284703;4377382.401470498;4441271.543045642;10328668.038201828;13956686.922383726;0.0;-6137095.916008912;-8794905.48009526;61030561.57888022
156;Enkhuizen;4561471.658055658;3615371.0150323194;5245454.135615047;8655080.93073685;6591573.063154522;2554727.7140148724;2777387.281251494;6806277.741593933;7419070.7353085205;0.0;-3133249.0467713187;-4235235.496839397;40857956.45278417
157;Gooise Meren;15156437.892849209;8031998.207447891;14180056.204548415;17946498.601371318;20809684.250058845;8567569.262334783;8838681.087102609;17642609.570625678;16208283.470252255;0.0;-9902211.244107218;-17952586.05177247;99527066.63972203
158;Haarlem;52041147.15148848;33232382.13106579;42424990.32000805;65361541.86561175;58539163.94837862;29636836.14189568;29265535.515280582;64929462.08262574;52461180.27662066;0.0;-27411385.771590568;-50320298.27438435;350160744.50693923
159;Haarlemmermeer;42707156.862493046;20423431.150353562;27885598.748278808;47324756.14905447;55208619.80207571;23806999.393623438;24896463.831874866;44457299.74152043;47170745.06758096;0.0;-26811996.246415168;-50018541.775059365;257050653.47717085
160;Heemskerk;10485180.772999646;7379619.708714606;11290289.061648332;14019880.526285028;13841208.010485787;5656478.598341823;6979892.062776377;11245845.07886144;9505276.956162138;0.0;-6594462.775907919;-8540236.06142275;75269014.16599883
161;Heemstede;6487775.673476635;2554413.574960709;7197114.946466259;6481591.675094604;9750483.384416249;3642842.390270914;3519598.9655887624;6757498.352555685;6374382.484733542;0.0;-4637107.624346027;-9070291.225884138;39058319.32723896
162;Heiloo;5675176.591166359;2838751.3880288796;6821196.054418756;6354341.0896497825;8558625.813306285;2869215.3708207984;2280325.3282631948;6401824.817218753;5598472.145822195;0.0;-4108729.429341976;-6460305.453673613;36828910.376540676
163;Hilversum;27375096.025056437;20137001.452623434;25522164.718422282;38097531.26698488;32715512.611238766;15672056.340661714;17855744.007711593;30528728.54098711;24873201.6937117;0.0;-15436215.616037171;-27499089.168547485;189841841.86634257
164;Hollands Kroon;10550831.354393627;6533383.403511779;12097533.486378819;19810155.60694263;16914452.03329383;6174344.373021811;6562154.123294952;11468444.731678447;20751152.753912;0.0;-8208035.552639615;-13327574.571562557;89326901.36426759
165;Hoorn;21304776.07729339;16346556.544888958;20120633.574272316;33711719.66702919;26160834.700025406;11054917.197690524;14468437.578058599;26745404.9915881;21440966.49114541;0.0;-12502370.442030035;-16900561.585428763;161951408.5414681
166;Huizen;10813718.011715015;6923536.534637903;11343358.647383597;15067081.349678645;14485226.518167272;6006826.781668592;5879668.852642256;11802068.297352685;9548946.11676536;0.0;-6888772.795238761;-10235338.116725342;74746364.88111317
