;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal;index;0
138;Wijk bij Duurstede;5680790.999602979;2934302.6699255714;4891136.967666428;7709112.191638632;8705413.946332153;3150557.8043614347;3070533.251362397;6728902.733587173;6299928.549646575;0.0;-4195297.0896619735;-5518941.459914728;39456419.271416456;;
139;Woerden;13359586.495106697;7321602.15942523;11460948.327507392;16852900.400308695;19340646.562757164;7460001.447155685;9276774.353418676;15149783.072133468;21896117.29282684;0.0;-9309206.013604116;-13891432.482702628;98917676.40003482;;
140;Woudenberg;3296682.1459530112;1372046.531085857;2590862.343953128;4202872.224198357;5148652.045980489;1732121.2129773558;1805103.7248801999;3598535.064697946;3569283.160494649;0.0;-2510359.4762051622;-3480491.643439481;21325296.842990577;;
141;Zeist;18660038.348206285;12681011.390534462;18322192.997185886;24341437.80083425;24592482.531641822;10542269.447794467;14298173.75100833;20907058.394908205;14975643.371100498;0.0;-11649445.710069975;-21297151.46224619;126373645.84156479;;
142;Aalsmeer;7786739.848089421;3242281.7674892475;7006082.301671783;10461903.342420654;11888529.440243838;4483024.216932709;3767062.0283060563;8045022.507249393;13449944.334279848;0.0;-5780750.477752899;-11308501.888769694;53041307.68322801;;
143;Alkmaar;33832350.30999707;27604312.053701233;34006236.68865231;50149451.668825835;41644903.37423783;19004442.40005827;19444332.63839334;41341434.75041783;38042738.0779032;0.0;-19553109.177605536;-32502574.24018926;253014372.27329454;;
144;Amstelveen;30148872.593616802;12389976.60857978;23319322.647060063;31855579.00617089;34910212.70568;18392093.717518453;16838260.049683183;29205615.14032788;28979639.019741815;0.0;-16508087.546811366;-33606340.293749206;175925053.72749504;;
145;Amsterdam;403906322.955267;357238371.33739805;287087384.9468249;396015019.1927278;358439447.70714694;267191211.06015572;176018436.10994914;466799265.9265077;477774824.15020245;108073367.15155001;-160524008.27214703;-371316480.33518857;2766701861.0898094;;
146;Bergen (NH.);6708338.649173116;3496034.396264243;11341727.715813689;7801855.103164884;11626397.396746598;4547203.34050169;3476413.3097253963;7197641.298446968;9129081.294278985;0.0;-5269342.099950901;-11952639.285528393;48102687.25035207;;
147;Beverwijk;12428055.145408604;9569663.770929622;11281846.710208962;17757300.072702613;15862983.466324091;7695339.759711454;6929280.675874471;13139388.39185212;13602677.67678871;0.0;-7467611.336629605;-11737245.921182081;89061621.27676955;;
